Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,174,2,Some Random Commen with Id 0
1,0,5,4,9,Some Random Commen with Id 1
2,0,5,175,4,Some Random Commen with Id 2
3,0,5,183,6,Some Random Commen with Id 3
4,0,5,41,5,Some Random Commen with Id 4
5,0,5,1,7,Some Random Commen with Id 5
6,0,5,100,8,Some Random Commen with Id 6
7,0,5,142,5,Some Random Commen with Id 7
8,0,5,137,5,Some Random Commen with Id 8
9,1,7,104,6,Some Random Commen with Id 9
10,1,7,110,0,Some Random Commen with Id 10
11,1,7,25,6,Some Random Commen with Id 11
12,2,4,196,2,Some Random Commen with Id 12
13,2,4,125,0,Some Random Commen with Id 13
14,2,4,173,9,Some Random Commen with Id 14
15,2,4,95,5,Some Random Commen with Id 15
16,2,4,159,2,Some Random Commen with Id 16
17,2,4,1,4,Some Random Commen with Id 17
18,2,4,17,1,Some Random Commen with Id 18
19,2,4,109,1,Some Random Commen with Id 19
20,2,4,5,1,Some Random Commen with Id 20
21,3,7,45,1,Some Random Commen with Id 21
22,3,7,8,5,Some Random Commen with Id 22
23,3,7,161,2,Some Random Commen with Id 23
24,3,7,58,7,Some Random Commen with Id 24
25,3,7,171,8,Some Random Commen with Id 25
26,5,0,190,4,Some Random Commen with Id 26
27,5,0,183,1,Some Random Commen with Id 27
28,6,3,170,9,Some Random Commen with Id 28
29,6,3,8,4,Some Random Commen with Id 29
30,6,3,38,6,Some Random Commen with Id 30
31,6,3,64,9,Some Random Commen with Id 31
32,6,3,132,9,Some Random Commen with Id 32
33,7,8,151,6,Some Random Commen with Id 33
34,7,8,48,6,Some Random Commen with Id 34
35,7,8,64,6,Some Random Commen with Id 35
36,7,8,131,6,Some Random Commen with Id 36
37,7,8,164,9,Some Random Commen with Id 37
38,7,8,102,1,Some Random Commen with Id 38
39,8,3,157,9,Some Random Commen with Id 39
40,8,3,121,3,Some Random Commen with Id 40
41,8,3,185,0,Some Random Commen with Id 41
42,8,3,167,8,Some Random Commen with Id 42
43,8,3,110,4,Some Random Commen with Id 43
44,8,3,44,6,Some Random Commen with Id 44
45,8,3,144,0,Some Random Commen with Id 45
46,9,0,77,6,Some Random Commen with Id 46
47,9,0,163,3,Some Random Commen with Id 47
48,9,0,126,9,Some Random Commen with Id 48
49,9,0,99,0,Some Random Commen with Id 49
50,9,0,127,0,Some Random Commen with Id 50
51,9,0,8,6,Some Random Commen with Id 51
52,9,0,94,7,Some Random Commen with Id 52
53,9,0,133,5,Some Random Commen with Id 53
54,10,0,144,1,Some Random Commen with Id 54
55,10,0,159,0,Some Random Commen with Id 55
56,10,0,80,4,Some Random Commen with Id 56
57,10,0,39,4,Some Random Commen with Id 57
58,10,0,127,8,Some Random Commen with Id 58
59,10,0,192,2,Some Random Commen with Id 59
60,10,0,154,8,Some Random Commen with Id 60
61,10,0,22,7,Some Random Commen with Id 61
62,10,0,45,7,Some Random Commen with Id 62
63,11,6,171,0,Some Random Commen with Id 63
64,11,6,168,0,Some Random Commen with Id 64
65,11,6,51,6,Some Random Commen with Id 65
66,11,6,71,0,Some Random Commen with Id 66
67,11,6,7,7,Some Random Commen with Id 67
68,12,1,78,6,Some Random Commen with Id 68
69,12,1,119,0,Some Random Commen with Id 69
70,12,1,129,7,Some Random Commen with Id 70
71,12,1,177,6,Some Random Commen with Id 71
72,12,1,147,2,Some Random Commen with Id 72
73,12,1,164,0,Some Random Commen with Id 73
74,12,1,105,9,Some Random Commen with Id 74
75,12,1,33,6,Some Random Commen with Id 75
76,13,3,120,0,Some Random Commen with Id 76
77,13,3,110,9,Some Random Commen with Id 77
78,13,3,75,9,Some Random Commen with Id 78
79,13,3,65,2,Some Random Commen with Id 79
80,13,3,119,7,Some Random Commen with Id 80
81,13,3,44,3,Some Random Commen with Id 81
82,14,7,65,3,Some Random Commen with Id 82
83,14,7,128,3,Some Random Commen with Id 83
84,14,7,151,2,Some Random Commen with Id 84
85,14,7,126,6,Some Random Commen with Id 85
86,14,7,60,3,Some Random Commen with Id 86
87,14,7,17,5,Some Random Commen with Id 87
88,14,7,110,3,Some Random Commen with Id 88
89,15,6,187,9,Some Random Commen with Id 89
90,15,6,158,1,Some Random Commen with Id 90
91,15,6,24,7,Some Random Commen with Id 91
92,15,6,132,5,Some Random Commen with Id 92
93,15,6,166,0,Some Random Commen with Id 93
94,15,6,74,1,Some Random Commen with Id 94
95,15,6,73,6,Some Random Commen with Id 95
96,15,6,144,7,Some Random Commen with Id 96
97,15,6,99,5,Some Random Commen with Id 97
98,16,9,14,1,Some Random Commen with Id 98
99,16,9,156,1,Some Random Commen with Id 99
100,16,9,198,8,Some Random Commen with Id 100
101,16,9,82,5,Some Random Commen with Id 101
102,16,9,188,7,Some Random Commen with Id 102
103,16,9,167,6,Some Random Commen with Id 103
104,16,9,191,8,Some Random Commen with Id 104
105,19,6,127,9,Some Random Commen with Id 105
106,20,8,194,9,Some Random Commen with Id 106
107,20,8,6,3,Some Random Commen with Id 107
108,20,8,170,9,Some Random Commen with Id 108
109,20,8,150,3,Some Random Commen with Id 109
110,20,8,1,8,Some Random Commen with Id 110
111,20,8,117,0,Some Random Commen with Id 111
112,20,8,125,9,Some Random Commen with Id 112
113,21,1,104,7,Some Random Commen with Id 113
114,21,1,116,2,Some Random Commen with Id 114
115,21,1,129,7,Some Random Commen with Id 115
116,21,1,172,0,Some Random Commen with Id 116
117,21,1,127,8,Some Random Commen with Id 117
118,21,1,175,8,Some Random Commen with Id 118
119,21,1,198,4,Some Random Commen with Id 119
120,21,1,69,4,Some Random Commen with Id 120
121,22,6,194,7,Some Random Commen with Id 121
122,22,6,56,9,Some Random Commen with Id 122
123,24,0,5,6,Some Random Commen with Id 123
124,24,0,125,3,Some Random Commen with Id 124
125,25,9,69,7,Some Random Commen with Id 125
126,25,9,89,7,Some Random Commen with Id 126
127,25,9,21,5,Some Random Commen with Id 127
128,25,9,77,4,Some Random Commen with Id 128
129,25,9,61,1,Some Random Commen with Id 129
130,25,9,185,2,Some Random Commen with Id 130
131,25,9,112,8,Some Random Commen with Id 131
132,25,9,22,8,Some Random Commen with Id 132
133,25,9,54,1,Some Random Commen with Id 133
134,26,9,171,2,Some Random Commen with Id 134
135,26,9,33,6,Some Random Commen with Id 135
136,26,9,92,1,Some Random Commen with Id 136
137,26,9,2,4,Some Random Commen with Id 137
138,26,9,122,2,Some Random Commen with Id 138
139,26,9,126,4,Some Random Commen with Id 139
140,26,9,152,0,Some Random Commen with Id 140
141,26,9,155,1,Some Random Commen with Id 141
142,26,9,167,1,Some Random Commen with Id 142
143,27,8,8,8,Some Random Commen with Id 143
144,28,1,41,4,Some Random Commen with Id 144
145,28,1,2,9,Some Random Commen with Id 145
146,28,1,121,9,Some Random Commen with Id 146
147,28,1,55,9,Some Random Commen with Id 147
148,28,1,165,9,Some Random Commen with Id 148
149,30,9,158,5,Some Random Commen with Id 149
150,30,9,89,8,Some Random Commen with Id 150
151,31,9,140,0,Some Random Commen with Id 151
152,31,9,142,0,Some Random Commen with Id 152
153,31,9,67,7,Some Random Commen with Id 153
154,31,9,40,0,Some Random Commen with Id 154
155,31,9,47,7,Some Random Commen with Id 155
156,31,9,130,0,Some Random Commen with Id 156
