Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,39,0,Some Random Commen with Id 0
1,0,5,148,1,Some Random Commen with Id 1
2,0,5,52,6,Some Random Commen with Id 2
3,0,5,58,4,Some Random Commen with Id 3
4,0,5,156,7,Some Random Commen with Id 4
5,1,8,56,0,Some Random Commen with Id 5
6,1,8,190,6,Some Random Commen with Id 6
7,2,7,137,7,Some Random Commen with Id 7
8,2,7,125,6,Some Random Commen with Id 8
9,2,7,1,7,Some Random Commen with Id 9
10,2,7,44,8,Some Random Commen with Id 10
11,2,7,144,8,Some Random Commen with Id 11
12,2,7,40,3,Some Random Commen with Id 12
13,2,7,23,8,Some Random Commen with Id 13
14,3,5,138,7,Some Random Commen with Id 14
15,3,5,20,1,Some Random Commen with Id 15
16,3,5,23,0,Some Random Commen with Id 16
17,3,5,153,2,Some Random Commen with Id 17
18,3,5,117,3,Some Random Commen with Id 18
19,3,5,120,3,Some Random Commen with Id 19
20,3,5,9,3,Some Random Commen with Id 20
21,3,5,64,7,Some Random Commen with Id 21
22,6,7,101,1,Some Random Commen with Id 22
23,6,7,8,3,Some Random Commen with Id 23
24,6,7,183,2,Some Random Commen with Id 24
25,6,7,111,8,Some Random Commen with Id 25
26,6,7,199,8,Some Random Commen with Id 26
27,6,7,153,0,Some Random Commen with Id 27
28,7,1,86,8,Some Random Commen with Id 28
29,7,1,112,8,Some Random Commen with Id 29
30,7,1,133,7,Some Random Commen with Id 30
31,7,1,173,1,Some Random Commen with Id 31
32,7,1,22,7,Some Random Commen with Id 32
33,7,1,65,9,Some Random Commen with Id 33
34,7,1,0,4,Some Random Commen with Id 34
35,7,1,133,0,Some Random Commen with Id 35
36,8,4,170,6,Some Random Commen with Id 36
37,8,4,35,3,Some Random Commen with Id 37
38,8,4,180,0,Some Random Commen with Id 38
39,8,4,186,7,Some Random Commen with Id 39
40,8,4,127,1,Some Random Commen with Id 40
41,8,4,197,2,Some Random Commen with Id 41
42,8,4,51,9,Some Random Commen with Id 42
43,8,4,171,3,Some Random Commen with Id 43
44,8,4,99,6,Some Random Commen with Id 44
45,9,6,196,3,Some Random Commen with Id 45
46,9,6,145,6,Some Random Commen with Id 46
47,10,7,124,5,Some Random Commen with Id 47
48,10,7,27,1,Some Random Commen with Id 48
49,10,7,113,7,Some Random Commen with Id 49
50,10,7,69,4,Some Random Commen with Id 50
51,10,7,22,7,Some Random Commen with Id 51
52,10,7,133,5,Some Random Commen with Id 52
53,10,7,127,3,Some Random Commen with Id 53
54,11,5,193,9,Some Random Commen with Id 54
55,11,5,195,7,Some Random Commen with Id 55
56,11,5,81,5,Some Random Commen with Id 56
57,11,5,175,5,Some Random Commen with Id 57
58,11,5,197,9,Some Random Commen with Id 58
59,11,5,184,6,Some Random Commen with Id 59
60,11,5,87,5,Some Random Commen with Id 60
61,11,5,65,3,Some Random Commen with Id 61
62,13,8,94,8,Some Random Commen with Id 62
63,15,3,173,8,Some Random Commen with Id 63
64,15,3,88,4,Some Random Commen with Id 64
65,15,3,18,0,Some Random Commen with Id 65
66,15,3,91,1,Some Random Commen with Id 66
67,15,3,52,1,Some Random Commen with Id 67
68,15,3,108,0,Some Random Commen with Id 68
69,16,6,132,7,Some Random Commen with Id 69
70,16,6,53,0,Some Random Commen with Id 70
71,16,6,68,0,Some Random Commen with Id 71
72,16,6,176,6,Some Random Commen with Id 72
73,16,6,121,0,Some Random Commen with Id 73
74,16,6,181,7,Some Random Commen with Id 74
75,16,6,9,2,Some Random Commen with Id 75
76,16,6,183,2,Some Random Commen with Id 76
77,16,6,29,8,Some Random Commen with Id 77
78,17,6,185,4,Some Random Commen with Id 78
79,18,3,22,4,Some Random Commen with Id 79
80,18,3,57,1,Some Random Commen with Id 80
81,18,3,81,6,Some Random Commen with Id 81
82,18,3,138,2,Some Random Commen with Id 82
83,18,3,37,7,Some Random Commen with Id 83
84,18,3,48,7,Some Random Commen with Id 84
85,18,3,123,0,Some Random Commen with Id 85
86,20,4,129,8,Some Random Commen with Id 86
87,20,4,33,3,Some Random Commen with Id 87
88,21,1,120,2,Some Random Commen with Id 88
89,21,1,195,9,Some Random Commen with Id 89
90,21,1,143,8,Some Random Commen with Id 90
91,21,1,76,8,Some Random Commen with Id 91
92,21,1,126,5,Some Random Commen with Id 92
93,21,1,150,0,Some Random Commen with Id 93
94,21,1,164,7,Some Random Commen with Id 94
95,21,1,0,2,Some Random Commen with Id 95
96,22,6,195,1,Some Random Commen with Id 96
97,22,6,105,3,Some Random Commen with Id 97
98,22,6,167,7,Some Random Commen with Id 98
99,22,6,66,1,Some Random Commen with Id 99
100,22,6,72,2,Some Random Commen with Id 100
101,22,6,104,1,Some Random Commen with Id 101
102,22,6,45,0,Some Random Commen with Id 102
103,22,6,44,6,Some Random Commen with Id 103
104,23,5,189,1,Some Random Commen with Id 104
105,23,5,42,8,Some Random Commen with Id 105
106,23,5,111,4,Some Random Commen with Id 106
107,23,5,151,7,Some Random Commen with Id 107
108,23,5,168,7,Some Random Commen with Id 108
109,23,5,39,6,Some Random Commen with Id 109
110,23,5,101,3,Some Random Commen with Id 110
111,23,5,196,5,Some Random Commen with Id 111
112,23,5,113,4,Some Random Commen with Id 112
113,24,3,29,0,Some Random Commen with Id 113
114,24,3,29,0,Some Random Commen with Id 114
115,24,3,146,8,Some Random Commen with Id 115
116,24,3,70,9,Some Random Commen with Id 116
117,25,7,166,1,Some Random Commen with Id 117
118,25,7,152,9,Some Random Commen with Id 118
119,25,7,125,7,Some Random Commen with Id 119
120,25,7,158,6,Some Random Commen with Id 120
121,26,9,18,2,Some Random Commen with Id 121
122,26,9,3,0,Some Random Commen with Id 122
123,26,9,68,1,Some Random Commen with Id 123
124,27,5,88,2,Some Random Commen with Id 124
125,27,5,133,9,Some Random Commen with Id 125
126,27,5,15,3,Some Random Commen with Id 126
127,27,5,4,5,Some Random Commen with Id 127
128,27,5,124,7,Some Random Commen with Id 128
129,27,5,118,0,Some Random Commen with Id 129
130,27,5,59,4,Some Random Commen with Id 130
131,28,7,28,1,Some Random Commen with Id 131
132,28,7,135,1,Some Random Commen with Id 132
133,28,7,93,0,Some Random Commen with Id 133
134,28,7,71,8,Some Random Commen with Id 134
135,28,7,197,9,Some Random Commen with Id 135
136,28,7,72,2,Some Random Commen with Id 136
137,28,7,29,6,Some Random Commen with Id 137
138,28,7,6,1,Some Random Commen with Id 138
139,29,3,124,0,Some Random Commen with Id 139
140,29,3,140,9,Some Random Commen with Id 140
141,29,3,74,9,Some Random Commen with Id 141
142,29,3,186,2,Some Random Commen with Id 142
143,29,3,145,4,Some Random Commen with Id 143
144,29,3,102,0,Some Random Commen with Id 144
145,29,3,30,1,Some Random Commen with Id 145
